gene_name_biomart,feature_id,effect_size,conf.low,conf.high,AveExpr,t,p_value,adj.P.Val,B,term,R2,R2adj,padj
GDF9,seq.3067.67,5.769416426054821,2.8912247246550473,8.647608127454596,8.440266449181786,9.4966405381672665,9.569343506995837e-16,6.904281340297497e-12,24.33456830913893,Collagen cluster 6,0.48077387082531053,0.47568341857849983,6.904281340297497e-12
ITGB1|ITGA3,seq.21901.14,12.00329952142082,5.245644957700297,18.760954085141343,9.52800768510583,8.415904119129792,2.384909939961473e-13,7.287548010464199e-10,19.31723511420764,Collagen cluster 6,0.42360735502930524,0.41795644674527876,7.287548010464199e-10
BTC,seq.9242.11,8.999873609065595,3.90440330459015,14.09534391354104,10.896365015399606,8.368512304252455,3.030165492916507e-13,7.287548010464199e-10,19.098833660695565,Collagen cluster 6,0.4121062410848666,0.4063425767817771,7.287548010464199e-10
IRF4,seq.9857.38,7.812206414022077,3.32365802716717,12.300754800876984,8.13027600124282,8.2463909824532,5.610335911263101e-13,1.0119643399940817e-9,18.53676606005342,Collagen cluster 6,0.40965655104017096,0.40386887016801576,1.0119643399940817e-9
IL17A,seq.9170.24,4.251024249222846,1.1571571770263316,7.344891321419361,8.487288890303367,6.50967655454075,2.775203894820183e-9,4.004619220225525e-6,10.749832987764698,Collagen cluster 6,0.29803118101397785,0.29114913376901685,4.004619220225525e-6
SNCAIP,seq.25095.1,6.589026115418263,1.6990288047970044,11.479023426039522,10.359431219208194,6.384233050280658,5.020786781350981e-9,6.037496104574555e-6,10.206311427959282,Collagen cluster 6,0.2975695760383277,0.2906830032543898,6.037496104574555e-6
CHST3,seq.7189.55,2.871698818823498,0.6832870275911143,5.060110610055882,8.656556481709298,6.216811123996562,1.0902057182644858e-8,1.0085525037683197e-5,9.495344195160984,Collagen cluster 6,0.3114363222845278,0.30468569799319967,1.0085525037683197e-5
TYRP1,seq.21441.20,4.173387473954011,0.9901975992883831,7.3565773486196395,11.05531941930426,6.211321272259449,1.1182841344624472e-8,1.0085525037683197e-5,9.472032084245596,Collagen cluster 6,0.28295106151136873,0.27592116995755867,1.0085525037683197e-5
CD70,seq.8762.38,1.8285422562910147,0.40487308112250786,3.2522114314595214,8.38613401196373,6.084904249886064,2.0032511905963125e-8,1.605939704461377e-5,8.937636712400822,Collagen cluster 6,0.33824847527982704,0.3317607152335509,1.605939704461377e-5
BMP8B,seq.15668.19,4.412309128782974,0.936391403665064,7.888226853900884,10.680218006383816,6.014115257187152,2.7750884721980554e-8,2.002226332690897e-5,8.638986014616972,Collagen cluster 6,0.27397513896673475,0.26685724817229095,2.002226332690897e-5
DAO,seq.19120.33,10.41769010596984,2.1792055217012116,18.656174690238466,9.023554923314226,5.99128838599519,3.085919028129256e-8,2.0240823443593256e-5,8.541755087835575,Collagen cluster 6,0.26140860110954867,0.2541675089635639,2.0240823443593256e-5
DTX3L,seq.11643.73,7.76747692615699,1.2111574684589366,14.323796383855044,9.282223255697321,5.61327072984449,1.6870482484664762e-7,1.0143377593904688e-4,6.9858699843063246,Collagen cluster 6,0.2559073933309346,0.24861236777535556,1.0143377593904688e-4
QKI,seq.7253.6,3.7909297159477986,0.38205720046280334,7.199802231432794,7.04873612307228,5.268887669215789,7.562044057096979e-7,4.1969344516888234e-4,5.613831197739609,Collagen cluster 6,0.2203333924337303,0.21268960216347277,4.1969344516888234e-4
ATP5MF,seq.11539.4,4.361525817616222,0.17914880833208002,8.543902826900364,10.507889915953054,4.940960620281894,3.017444866143434e-6,0.001555061764944634,4.350925372502035,Collagen cluster 6,0.19520231483563133,0.18731214145166697,0.001555061764944634
NECTIN1,seq.8803.61,2.4781867961199096,0.0893925876090309,4.866981004630788,9.743242518607373,4.914882400839008,3.354896085967745e-6,0.0016137050173504852,4.2541779741695205,Collagen cluster 6,0.2075856087228931,0.1998168401809607,0.0016137050173504852
IFNA1|IFNA13,seq.18389.11,4.059921409585572,0.09928226895242265,8.020560550218722,8.484218469423755,4.856780489815812,4.270139000271656e-6,0.001925565805435,4.03456246735359,Collagen cluster 6,0.202759778380177,0.19494369777606113,0.001925565805435
GLP1R,seq.13085.18,2.5508951308579504,-0.009249323301491419,5.111039585017393,9.103068576479403,4.720477845360028,7.4268242838578e-6,0.0030953136663526997,3.5307220024810384,Collagen cluster 6,0.19307560039909855,0.18516457687359955,0.0030953136663526997
TRIM55,seq.23683.79,3.0227911600057586,-0.0171796278259273,6.062761947837444,7.378297737266179,4.7108645100956785,7.722196257012972e-6,0.0030953136663526997,3.495268480856108,Collagen cluster 6,0.2205510394742637,0.21290938299852125,0.0030953136663526997
SVEP1,seq.11178.21,6.175080059552431,-0.09202687826956613,12.442186997374428,10.854872168429642,4.6684381652572124,9.173648409484014e-6,0.0033729697617699847,3.3387989534415254,Collagen cluster 6,0.19404202914949198,0.18614048041566345,0.0033729697617699847
LYG2,seq.15416.54,4.033369106696855,-0.06427101931004042,8.13100923270375,10.151210483881195,4.663696468590088,9.349881529507927e-6,0.0033729697617699847,3.3215035389781615,Collagen cluster 6,0.22174109014866095,0.21411110083639295,0.0033729697617699847
MFAP2,seq.10569.28,2.645428801934651,-0.06896814396583029,5.359825747835132,9.861541304688593,4.617219798254114,1.124285628096456e-5,0.0038627241936742525,3.1538426020499664,Collagen cluster 6,0.18286032056813262,0.17484914724036915,0.0038627241936742525
BCL2L2|BCL2L2-PABPN1,seq.13097.11,4.205207733830654,-0.31954044044547203,8.72995590810678,9.039464509029088,4.403410407332826,2.6112652080103045e-5,0.008563762943542885,2.3895090459211907,Collagen cluster 6,0.19389591749309631,0.18599293629204816,0.008563762943542885
