gene_name_biomart,feature_id,effect_size,conf.low,conf.high,AveExpr,t,p_value,adj.P.Val,B,term,R2,R2adj,padj
ACSS3,seq.23692.19,5.34446268682689,3.80140069664734,6.887524677006439,9.913220696607459,16.409446741448633,1.611273082110488e-30,1.162533528742717e-26,51.328996652844324,Collagen cluster 0,0.7349237267553248,0.7323249397627299,1.162533528742717e-26
PLAC8L1,seq.22532.59,3.8469466998245085,2.1378997129165023,5.555993686732515,11.555757783771178,10.66404164641441,2.41506035332897e-18,8.71233022463426e-15,28.535671377015596,Collagen cluster 0,0.5391065981396623,0.5345880353763257,8.71233022463426e-15
NAGS,seq.11247.20,4.040876907789297,2.1126915270211386,5.969062288557455,9.312271426765355,9.929360751766113,1.0572557662466032e-16,2.5427001178230807e-13,25.307012331416864,Collagen cluster 0,0.526391851155362,0.5217486340098263,2.5427001178230807e-13
LDLRAD4,seq.9004.24,3.140125172568899,1.4384703599892386,4.841779985148559,9.276946737492166,8.743190644834838,4.5363903417691026e-14,8.18251407896602e-11,20.071904348826536,Collagen cluster 0,0.45087795806567454,0.44549440863494594,8.18251407896602e-11
POLM,seq.12851.5,3.88811490381947,1.7069099234110663,6.069319884227873,9.56751855195885,8.445727492912786,2.050153764034014e-13,2.958371881501082e-10,18.759153971691326,Collagen cluster 0,0.41602000832129205,0.41029471428522635,2.958371881501082e-10
NRL,seq.22516.30,2.9299475615007946,1.2448409158540938,4.615054207147495,10.3895627672011,8.237855599168471,5.835750663640392e-13,7.017490173027571e-10,17.846793381864877,Collagen cluster 0,0.4604210315098536,0.45513104162269524,7.017490173027571e-10
LAMP1,seq.16902.17,3.6185743109968964,1.4116510147404617,5.825497607253331,9.983715837962112,7.768634887216949,6.13856432284633e-12,6.327105941333754e-9,15.788086994278286,Collagen cluster 0,0.3830024582869528,0.3769534627799621,6.327105941333754e-9
HSPBP1,seq.21111.49,3.869535547141155,1.4957992821963386,6.243271812085972,10.017547071338075,7.7236187825853175,7.678843105071757e-12,6.92535662538659e-9,15.591848543111633,Collagen cluster 0,0.380299708407004,0.37422421535217065,6.92535662538659e-9
ASPA,seq.18187.16,2.107222380758596,0.7623188778586085,3.4521258836585833,9.840092578852085,7.422928795960864,3.373357440641214e-11,2.70430821491404e-8,14.293235350939801,Collagen cluster 0,0.3729866838169167,0.3668394944425728,2.70430821491404e-8
TNFRSF14,seq.10472.53,2.1629218446313976,0.663842936768547,3.662000752494248,10.180470171937843,6.835618874623863,5.877760984401372e-10,4.24080455024559e-7,11.778307008106877,Collagen cluster 0,0.3338998159211486,0.3273694219595913,4.24080455024559e-7
BEX4,seq.23576.46,5.359875308375546,1.2635319456405476,9.456218671110545,10.169177831939253,6.1994446631502695,1.1861013072216691e-8,7.779746301458493e-6,9.127245545335088,Collagen cluster 0,0.28742926243190636,0.2804432748086897,7.779746301458493e-6
STIP1,seq.5489.18,2.0224843172168017,0.1534349640006929,3.8915336704329104,11.793349036419166,5.126706599354716,1.3847515066500306e-6,8.325818433733309e-4,4.924183031942196,Collagen cluster 0,0.2527814640347348,0.24545579211350665,8.325818433733309e-4
COL15A1,seq.8974.172,-1.4975748879192141,-2.9032225952823296,-0.09192718055609861,12.670193388369068,-5.047404487370326,1.931871632103021e-6,0.0010721887558171766,4.630566739142042,Collagen cluster 0,0.31110848874588226,0.30435465040025367,0.0010721887558171766
RGS21,seq.19381.7,7.028486809389571,0.15174860837972837,13.905225010399414,9.876729565474914,4.842546474031359,4.526518961519866e-6,0.0023327738790975597,3.880528467613283,Collagen cluster 0,0.18984351462767002,0.1819008039867649,0.0023327738790975597
CFAP45,seq.6553.68,1.2152070808294122,0.017580373009946415,2.4128337886488778,8.422276562110545,4.807118942910617,5.223023389650311e-6,0.0025122742504217997,3.7544592131013026,Collagen cluster 0,0.2147597996683327,0.20706136633174765,0.0025122742504217997
APBB3,seq.13589.10,2.751833955835442,-0.05054550596268781,5.554213417633571,10.513101522474466,4.652535954490608,9.777050347361073e-6,0.004408838641013134,3.2030820994966867,Collagen cluster 0,0.1761156541452885,0.16803835663690903,0.004408838641013134
PCDHB1,seq.9941.70,1.2283601682974785,-0.11971526951095246,2.5764356061059095,10.078061345608129,4.316856165302506,3.640941696127379e-5,0.015452584904446495,2.049326400045782,Collagen cluster 0,0.16826389274282427,0.16010961718147942,0.015452584904446495
